SAMPLE_ID,other_HRR_gene_mutation_somatic,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,indel_insdel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,BRCA1/2_mut,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000
Sample_0167,0,72,0,67,104,42,61,15,11,9,7,2.24590163934426,2.26666666666667,1.09090909090909,0.595238095238095,551,88,0.159709618874773,139,15,10,17,370,58,4,4,1,21,336,75,119,0.159709618874773,25,115,16,69,24,13,0.0,370,27,22,0,53.23,37.9,0.71,0.02,0,0,0,6,3,3,2,54
Sample_0168,0,51,0,53,75,52,50,19,95,19,11,1.72,2.26315789473684,1.84210526315789,1.21153846153846,460,116,0.252173913043478,125,14,17,12,292,90,7,1,1,17,259,78,110,0.252173913043478,36,107,25,74,23,13,0.05,292,19,17,0,49.67,45.32,0.91,0.07,0,0,1,2,9,6,76,39
Sample_0169,1,158,0,19,49,84,128,39,50,32,12,2.59375,1.05128205128205,1.72,0.821428571428571,1153,162,0.14050303555941,253,26,20,21,833,132,8,3,2,17,708,173,190,0.14050303555941,30,138,13,41,29,7,0.17,833,21,17,0,54.49,36.57,0.67,0.06,1,0,0,4,9,12,18,116
Sample_0170,0,367,0,9,52,46,63,42,116,72,22,2.96825396825397,2.04761904761905,1.49137931034483,0.934782608695652,415,58,0.139759036144578,85,9,6,11,304,37,6,3,0,12,255,78,64,0.139759036144578,36,322,20,129,26,13,0.56,305,31,15,5,72.12,35.64,0.49,0.1,1,0,1,19,17,13,44,41
Sample_0171,0,349,0,10,41,83,114,89,176,45,44,1.64912280701754,0.966292134831461,1.78977272727273,1.36144578313253,820,161,0.196341463414634,210,25,16,17,552,129,3,0,4,25,462,165,172,0.196341463414634,40,295,14,74,32,13,0.42,552,30,25,29,43.06,40.78,0.95,0.02,0,0,1,5,7,6,131,70
Sample_0172,0,333,0,11,27,115,85,118,50,45,39,1.37647058823529,1.27118644067797,1.46,1.07826086956522,357,144,0.403361344537815,189,32,31,33,72,106,15,2,1,20,91,62,201,0.403361344537815,30,326,12,138,17,5,0.61,73,43,20,23,28.29,85.19,3.01,0.09,1,1,0,23,10,3,5,46
Sample_0173,0,146,0,5,44,20,35,37,38,32,23,1.42857142857143,1.13513513513514,1.60526315789474,0.85,205,100,0.48780487804878,106,23,23,12,41,72,6,0,3,19,44,38,112,0.48780487804878,24,157,13,63,3,12,0.01,41,42,21,0,31.79,62.26,1.96,0.08,1,1,0,23,9,3,6,12
Sample_0174,1,349,0,15,50,29,74,37,177,163,26,1.54054054054054,1.43243243243243,1.37853107344633,0.655172413793103,454,156,0.343612334801762,176,43,30,39,166,104,9,3,4,36,170,109,165,0.343612334801762,35,331,11,94,8,13,0.13,168,56,36,2,49.18,39.22,0.8,0.05,1,1,0,20,8,13,14,48
Sample_0175,0,313,0,9,18,29,68,60,17,17,42,1.32352941176471,1.55,1.52941176470588,1.06896551724138,402,132,0.328358208955224,192,32,22,20,136,99,10,3,3,17,124,78,183,0.328358208955224,28,267,8,54,10,8,0.08,136,30,20,11,42.12,46.39,1.1,0.03,0,0,0,13,5,9,0,26
Sample_0176,0,48,0,66,69,93,75,41,266,33,21,1.21333333333333,1.26829268292683,1.5187969924812,1.23655913978495,599,78,0.130217028380634,121,18,17,6,437,59,4,0,0,15,370,122,90,0.130217028380634,30,109,23,74,25,20,0.27,437,17,15,1,75.99,35.87,0.47,0.02,0,0,1,2,17,4,233,54
